,sst_cluster1,sst_cluster2,sst_cluster3,sst_cluster4,sst_cluster5,sst_cluster6,sst_cluster7,sst_cluster8
1983-10-01,28.463745,21.746124,30.923523,27.889801,27.366974,28.216797,29.482391,25.993835
1983-11-01,28.218231,18.97815,28.256348,28.016144,27.642853,26.824371,28.749268,24.20929
1983-12-01,27.802979,14.97403,25.327759,27.106995,26.280823,25.682251,26.718262,21.879242
1984-01-01,27.768402,11.979645,22.29779,26.667664,25.600555,23.914764,26.105408,17.80368
1984-02-01,27.957977,9.904327,21.37915,26.53897,24.90268,23.155518,26.365234,16.62915
1984-03-01,28.765747,9.810303,23.11789,27.937195,26.190521,24.508698,27.47342,18.126862
1984-04-01,29.361145,12.955658,26.07965,29.099335,28.581604,27.487793,28.804352,20.28186
1984-05-01,29.061707,17.055817,27.971832,30.002106,30.002106,29.004303,29.229492,23.83905
1984-06-01,28.663788,23.106506,29.999146,28.024292,27.173004,28.456879,30.153076,27.438293
1984-07-01,28.195557,27.067566,32.763916,27.06659,25.29715,27.164581,28.854828,30.971222
1984-08-01,27.789215,27.083893,32.84854,26.324158,24.61612,26.858215,28.37967,30.964783
1984-09-01,28.559357,25.877716,32.128906,27.175476,25.280334,26.130646,29.353241,31.032104
1984-10-01,28.24405,23.5,30.36441,27.70111,27.149231,26.528076,29.357208,28.46579
1984-11-01,28.462341,19.149933,28.208435,27.554108,27.315033,26.742401,28.549438,24.278564
1984-12-01,28.528168,14.330627,25.274872,27.09134,26.643402,26.006409,27.121521,20.456573
1985-01-01,28.359253,11.906677,23.178253,26.765533,25.817139,23.945099,25.972443,17.715393
1985-02-01,28.48227,10.619995,22.294403,26.731232,25.699677,24.415527,26.286041,16.29663
1985-03-01,29.291992,9.688263,22.635742,27.683655,26.98233,25.789917,27.238953,16.607208
1985-04-01,29.792145,12.958405,25.467255,29.404938,29.40091,26.930908,28.619415,21.37326
1985-05-01,29.59552,19.47348,28.733856,29.880371,29.568787,28.400085,29.90509,26.064209
1985-06-01,28.647156,25.338684,31.351593,27.61911,26.65915,28.53421,29.6893,28.881592
1985-07-01,28.388,25.410767,32.09326,26.980804,25.471283,27.396759,28.724792,29.955505
1985-08-01,28.569,27.755249,33.378418,26.901642,25.19751,26.85376,28.111694,31.86737
1985-09-01,27.905487,25.135986,33.267,27.311554,26.057648,26.982819,28.522614,31.078308
1985-10-01,27.966492,21.576965,31.228577,27.743134,27.257599,27.519287,28.70816,28.188324
1985-11-01,28.480255,18.445953,28.608307,27.703796,27.50113,27.311554,27.496094,24.889435
1985-12-01,28.13034,14.50473,24.82492,26.782654,26.302185,25.508575,26.988861,20.205566
1986-01-01,27.648407,12.252869,21.975555,26.602936,25.481354,23.691467,26.035309,16.664124
1986-02-01,28.362915,10.138275,21.194977,26.398346,25.43518,23.550354,26.460754,15.984772
1986-03-01,28.472015,9.831909,22.007019,27.573395,27.065613,24.433746,28.00882,17.460968
1986-04-01,29.553192,12.9201355,24.82248,29.181274,29.114624,26.762909,28.909515,21.26001
1986-05-01,29.170258,18.59143,28.64566,30.458618,30.70047,28.00409,29.72525,25.365417
1986-06-01,28.836609,24.450012,31.720245,29.101013,28.263245,29.438293,29.91568,28.100098
1986-07-01,28.410645,26.854187,32.990814,26.94284,25.208557,27.70874,28.2753,31.19986
1986-08-01,28.120544,28.36972,33.555267,26.66272,24.810944,26.41565,28.13733,34.04312
1986-09-01,27.894989,27.730255,32.61676,27.666779,25.662872,26.290802,28.978241,32.55435
1986-10-01,27.729218,22.045837,31.720795,28.278961,27.793732,26.43924,29.115173,30.66217
1986-11-01,28.295746,17.782013,28.258514,27.881866,27.530914,26.621796,28.45996,25.34076
1986-12-01,28.166199,12.42807,24.415924,27.065613,26.618134,25.040192,27.292236,19.628021
1987-01-01,27.945923,10.388092,22.03189,26.673248,25.743958,23.389526,26.410736,16.627563
1987-02-01,28.209442,9.268951,22.041626,26.824738,25.67743,23.624908,26.247498,16.513458
1987-03-01,29.07019,9.711609,23.242126,27.761688,26.650238,25.296722,27.519653,19.112
1987-04-01,29.38028,10.869629,24.906769,29.190948,28.634186,26.717255,28.54718,21.658844
1987-05-01,29.549164,17.153625,28.937134,30.391968,30.662659,28.290314,29.877167,26.321686
1987-06-01,29.354706,23.262604,31.267517,28.592743,28.18283,29.674011,30.311615,27.710022
