,mgv500_cluster1,mgv500_cluster2,mgv500_cluster3,mgv500_cluster4,mgv500_cluster5,mgv500_cluster6,mgv500_cluster7,mgv500_cluster8,mgv500_cluster9,mgv500_cluster10
1978-10-01,-0.15059066,-0.30757707,0.14570662,0.16070756,-0.46584266,-0.5388704,0.25222483,0.32327574,0.359557,-0.2624581
1978-11-01,0.26536515,0.03174615,0.10849507,-0.09302898,-0.02988553,-0.19664004,0.28815728,-0.3166474,0.32583404,-0.40676922
1978-12-01,-0.058724545,0.11070448,-0.047444772,0.08709838,-0.36839476,-0.24815479,0.106634475,0.21617612,-0.09407558,0.18268566
1979-01-01,0.044914912,-0.01606226,-0.18427038,-0.22576456,0.22829294,-0.1362321,-0.34414968,0.03212459,0.406763,-0.13385253
1979-02-01,-0.32050246,-0.12210324,0.16642328,-0.009369677,-0.13177034,-0.16582842,-0.0031232357,0.30488628,0.008626056,0.24792461
1979-03-01,-0.505665,-0.0031232357,-0.18367538,-0.14307345,-0.5325843,0.33388767,-0.18203938,-0.044617463,0.47487897,0.10351257
1979-04-01,0.3117276,0.23736513,-0.25536087,0.04521241,-0.011451823,0.062910676,-0.082393646,-0.22873907,-0.12715988,-0.39426994
1979-05-01,-0.18099833,0.3978394,0.08343472,0.1600281,0.17609033,-0.35634515,-0.029745001,-0.12150834,0.10827179,-0.41077852
1979-06-01,-0.4133068,0.32273325,-0.4971877,0.2730591,-0.06023369,0.38207465,0.016657209,-0.55236465,0.27038205,-0.4252048
1979-07-01,-0.30473754,0.51235765,0.031529702,0.1398015,-0.658703,0.07228036,0.20702524,-0.5196452,0.14485815,-0.47696114
1979-08-01,0.20613289,0.48439732,0.15482274,0.13533977,-0.22160026,-0.86825657,0.5453746,0.07109055,0.2746951,-0.2644331
1979-09-01,0.22234383,-0.1398015,-0.2568481,0.15006354,0.25119656,-0.32853356,0.12150832,0.48246393,0.33388764,-0.3063736
1979-10-01,-0.077485725,-0.6417484,-0.5623293,0.071388006,0.1911116,0.4540574,0.091168426,-0.10083555,0.25759172,0.088640094
1979-11-01,-0.028852653,0.033016942,-0.038371064,0.0065438985,-0.37181252,0.12939076,0.21089205,-0.59742844,0.37493572,-0.017400837
