,msl_cluster1,msl_cluster2,msl_cluster3,msl_cluster4,msl_cluster5
1989-02-01,1010.5783,1020.05084,1009.043,1016.04803,1014.6692
1989-03-01,1009.693,1019.96674,1008.62463,1019.9119,1020.1756
1989-04-01,1012.0407,1022.6183,1008.9295,1022.04803,1018.2982
1989-05-01,1014.42694,1021.15076,1010.2271,1024.3794,1017.12714
1989-06-01,1016.8894,1022.2118,1011.58563,1022.5743,1019.33203
1989-07-01,1017.43713,1025.5269,1011.5907,1026.6058,1016.8967
1989-08-01,1017.755,1023.36475,1012.27734,1027.105,1020.1914
1989-09-01,1015.3044,1021.4433,1011.8318,1021.95935,1015.12714
1989-10-01,1015.11804,1022.44556,1011.1418,1023.3055,1013.1068
1989-11-01,1013.5337,1018.5963,1010.79517,1020.38513,1017.29987
1989-12-01,1011.12885,1020.6488,1010.7748,1020.7126,1015.2389
1990-01-01,1011.6036,1021.75256,1008.88525,1020.3923,1014.2985
1990-02-01,1009.86505,1019.6763,1011.3386,1019.4451,1019.70483
1990-03-01,1011.959,1022.5836,1010.8239,1018.1052,1018.23596
1990-04-01,1010.6495,1018.418,1010.13586,1020.1378,1017.4691
1990-05-01,1013.61865,1016.21967,1010.3173,1018.9549,1018.7349
1990-06-01,1016.79626,1024.8735,1011.9252,1020.93146,1020.111
1990-07-01,1017.4674,1018.52893,1012.55365,1025.4227,1015.1074
1990-08-01,1017.88696,1025.3346,1012.63306,1028.1031,1016.21326
1990-09-01,1016.3691,1022.8678,1012.74445,1021.1282,1020.27905
1990-10-01,1014.6423,1020.9975,1011.7185,1017.9727,1015.95764
1990-11-01,1013.39514,1019.96625,1010.55255,1018.9864,1016.4187
1990-12-01,1011.74774,1020.0725,1009.7075,1017.1149,1014.6113
1991-01-01,1011.29083,1019.6806,1008.7341,1019.03186,1013.9279
1991-02-01,1010.4043,1019.9691,1008.7131,1018.5954,1015.27203
1991-03-01,1010.6973,1024.6702,1010.9176,1018.53735,1017.6451
1991-04-01,1011.123,1019.5781,1009.9593,1024.4893,1018.3017
1991-05-01,1013.06696,1018.92944,1011.8719,1021.0617,1019.8445
1991-06-01,1015.185,1016.075,1012.5798,1022.8861,1012.8114
1991-07-01,1017.37134,1014.6336,1013.04877,1022.8025,1013.2609
1991-08-01,1017.2826,1025.5038,1013.4135,1021.2523,1017.86755
1991-09-01,1016.70435,1017.7844,1013.7657,1020.08685,1015.1941
1991-10-01,1013.0703,1021.01447,1011.41943,1022.05585,1017.022
1991-11-01,1013.644,1021.8339,1011.4599,1019.5873,1014.36725
1991-12-01,1011.44507,1019.99756,1010.4088,1016.1376,1015.861
1992-01-01,1011.90424,1022.4431,1012.3091,1017.63165,1019.6417
1992-02-01,1010.2943,1018.5682,1010.65784,1022.4744,1014.9281
1992-03-01,1011.451,1020.0773,1011.6923,1018.8314,1018.7576
1992-04-01,1011.77203,1019.31415,1011.08453,1020.8131,1018.57056
1992-05-01,1013.81104,1020.02,1010.81775,1019.2551,1017.2286
1992-06-01,1015.4983,1014.7541,1011.1707,1020.28204,1014.3846
1992-07-01,1017.93915,1018.0117,1013.26685,1021.9905,1019.4758
1992-08-01,1018.5003,1020.8657,1012.3592,1027.3354,1012.38696
1992-09-01,1016.1964,1025.7014,1011.831,1024.4514,1016.531
1992-10-01,1014.878,1023.817,1011.24445,1021.0828,1019.20795
1992-11-01,1013.1961,1023.9964,1010.5451,1018.55225,1013.76733
1992-12-01,1012.646,1021.0852,1010.6213,1017.9751,1016.2212
1993-01-01,1011.14087,1017.5506,1009.2318,1012.41675,1014.63916
1993-02-01,1010.7185,1021.1334,1010.00977,1019.136,1016.03876
1993-03-01,1011.0189,1021.8876,1011.29474,1021.0225,1018.0
1993-04-01,1012.5246,1022.5631,1011.4793,1023.82794,1019.4671
1993-05-01,1013.5736,1023.65875,1011.5547,1019.4236,1020.681
1993-06-01,1016.70276,1023.29767,1012.35474,1022.14136,1023.94385
1993-07-01,1018.29,1019.31506,1012.69507,1029.09,1017.36487
1993-08-01,1018.43713,1023.38165,1014.072,1024.9395,1018.28076
1993-09-01,1017.2993,1020.177,1013.34186,1025.7034,1018.3979
1993-10-01,1015.9787,1022.83905,1012.9035,1023.5349,1016.85724
1993-11-01,1012.75946,1020.1053,1010.027,1021.1844,1015.85547
1993-12-01,1012.6803,1023.02057,1008.89087,1018.52423,1017.0871
1994-01-01,1009.9457,1022.13916,1009.1782,1017.2609,1015.0153
1994-02-01,1008.9989,1022.12885,1008.53,1016.789,1015.55865
1994-03-01,1010.4739,1019.9238,1010.6502,1020.71857,1019.44226
1994-04-01,1012.0955,1020.55444,1010.9906,1019.13696,1021.68054
1994-05-01,1014.5259,1017.51953,1012.3258,1020.9881,1017.983
1994-06-01,1015.7592,1016.04694,1012.2482,1019.6306,1017.10706
1994-07-01,1017.0519,1021.918,1013.3168,1024.9832,1019.2417
1994-08-01,1016.97437,1024.5603,1013.9104,1024.8796,1023.152
1994-09-01,1016.65515,1020.7713,1013.5584,1021.59393,1020.3915
1994-10-01,1013.7874,1021.9701,1012.29486,1022.7285,1018.5536
1994-11-01,1012.92065,1020.0971,1010.5696,1017.1919,1018.08044
1994-12-01,1012.8067,1020.6616,1010.6041,1019.43805,1017.45044
1995-01-01,1011.30884,1020.07007,1009.90857,1018.194,1015.67017
1995-02-01,1010.12445,1021.5696,1009.90173,1018.5609,1016.59094
1995-03-01,1010.5577,1020.79224,1009.85406,1019.67896,1021.4475
1995-04-01,1011.1329,1022.92084,1010.34937,1019.0334,1019.181
1995-05-01,1013.6367,1019.99976,1011.5391,1024.937,1019.52655
1995-06-01,1015.3894,1020.8254,1011.7205,1020.117,1017.78906
1995-07-01,1015.54663,1019.948,1011.97095,1023.1008,1012.6683
1995-08-01,1016.8393,1018.86096,1012.5545,1026.9429,1020.65845
1995-09-01,1016.5655,1023.34094,1012.5821,1025.5543,1016.39923
1995-10-01,1014.07056,1019.4797,1010.6004,1019.78595,1018.1746
1995-11-01,1013.6077,1018.67883,1009.78516,1019.5652,1013.9002
1995-12-01,1012.45654,1024.3811,1009.4023,1016.3861,1015.52594
1996-01-01,1009.5795,1020.79694,1008.40186,1016.9293,1014.9821
