,mgv500_cluster1,mgv500_cluster2,mgv500_cluster3,mgv500_cluster4,mgv500_cluster5,mgv500_cluster6,mgv500_cluster7,mgv500_cluster8
1980-07-01,-0.038671114,0.15980455,0.21437529,0.18190232,-0.38334233,-0.09310703,0.17961171,-0.31233305
1980-08-01,0.041365933,0.33429605,0.03759315,0.004177022,0.034359314,-0.23970695,-0.19375977,0.16101725
1980-09-01,0.18554035,0.19780195,-0.098362006,0.13177812,0.0978231,-0.29885882,0.2119499,0.051875852
1980-10-01,0.2941428,0.37364087,-0.16411634,-0.071548246,-0.04433026,-0.0454082,-0.4094824,1.2009596
1980-11-01,0.75846535,-0.07276092,-0.17974648,0.038536333,0.061442554,0.20858136,-0.12840958,0.9616569
1980-12-01,0.8711101,-0.19847566,-0.37552723,-0.20656018,0.095397666,-0.0037727833,0.04635141,0.48951936
1981-01-01,0.70950603,-0.016627979,-0.30155772,0.13288264,0.37342423,-0.027760219,-0.114704706,1.1246411
1981-02-01,1.0134593,-0.021559905,-0.297753,-0.02606926,0.17022505,0.0025364398,-0.26562443,1.1298549
1981-03-01,0.6804776,0.10427704,-0.0915946,0.1544426,0.090044595,0.13682833,-0.11766396,0.81829226
1981-04-01,1.0231825,-0.017755222,-0.018177986,-0.026491975,0.110477164,0.03790617,-0.2535057,0.96766204
1981-05-01,0.28929806,0.03522873,0.064539,0.16120648,0.3078989,0.14528318,-0.26294708,1.2556919
1981-06-01,0.58536017,0.06904831,-0.003522873,0.13513727,0.215036,0.07877131,-0.70795614,0.81843317
1981-07-01,0.22349091,-0.15655641,0.26125604,0.2816887,0.21334505,-0.28239328,0.0040864944,0.09469471
1981-08-01,0.30381233,-0.027055645,-0.06778002,0.100613214,-0.26942912,-0.26463804,-0.20446739,0.11400008
1981-09-01,0.27591115,-0.16768865,-0.06510258,0.23899154,0.112309076,-0.15838823,-0.21884069,0.010145903
