,mgv850_cluster1,mgv850_cluster2,mgv850_cluster3,mgv850_cluster4,mgv850_cluster5,mgv850_cluster6,mgv850_cluster7,mgv850_cluster8,mgv850_cluster9
1985-04-01,-0.123389505,0.11537618,-0.10025716,0.40289223,-0.45097935,-0.14117378,-0.026155727,0.10118789,-0.021088058
1985-05-01,-0.10250988,0.082602836,-0.28596267,0.4367378,-0.24104357,-0.060352724,0.14923584,0.18696506,-0.19098996
1985-06-01,-0.10085308,0.062073782,-0.29715002,0.34120217,0.16513959,-0.020776466,0.1750544,0.16960678,-0.07214724
1985-07-01,-0.026975676,0.01367902,-0.37826633,0.31641585,-0.15073408,-0.03951636,0.1883803,0.22050011,-0.05334999
1985-08-01,0.009971059,0.12515613,-0.38104084,0.49131298,-0.24138619,-0.12470764,0.1831116,0.20893006,-0.06652195
1985-09-01,-0.16896531,0.164434,-0.34716663,0.42697492,-0.2713401,-0.16161194,0.13714984,0.21473612,-0.021316132
1985-10-01,-0.04020065,0.014046694,-0.25043806,0.3565245,-0.44532907,-0.11942081,0.08772271,0.17482248,-0.012776556
1985-11-01,-0.11467712,0.04885748,-0.21657212,0.40710413,-0.42766094,-0.2277663,0.013045623,0.1905404,0.0012969514
1985-12-01,-0.15226823,0.14740793,-0.19430858,0.40445128,-0.84001493,-0.3176123,-0.050865926,0.17239349,-0.014152259
1986-01-01,-0.11281933,0.07972682,-0.10030794,0.5291632,-0.89590645,-0.33423617,-0.06326865,0.17477095,-0.051142193
1986-02-01,-0.1940764,0.113155395,0.023874596,0.38195616,-0.68162596,-0.24528204,-0.08456186,0.15959105,-0.032082718
1986-03-01,0.0017287332,0.11135649,-0.1361071,0.5008474,-0.629478,-0.20818715,-0.052183814,0.16448954,-0.1591167
1986-04-01,-0.1601789,0.14447255,-0.18083487,0.5945172,-0.41319844,-0.19337885,-0.0033888482,0.11797005,-0.08938914
1986-05-01,-0.10763204,-0.0046914774,-0.25104183,0.5527474,-0.39246625,-0.056459393,0.10483488,0.16632788,-0.045433264
1986-06-01,0.00064808805,0.05349264,-0.33797997,0.38896444,-0.15751177,-0.030766858,0.15745899,0.1672041,-0.10276695
1986-07-01,0.036515106,0.009557433,-0.33490884,0.40806392,-0.0001861821,0.007843599,0.19731617,0.1781125,-0.12245402
1986-08-01,0.053065687,-0.012261617,-0.35290605,0.17810039,-0.23991688,0.01929395,0.18729004,0.13656487,-0.039698575
1986-09-01,0.00084110117,0.03174601,-0.3628598,0.48235896,-0.12880328,-0.033813655,0.1352988,0.22762506,-0.07629427
1986-10-01,-0.026949627,0.026670441,-0.26705402,0.39926836,-0.26861578,-0.10420535,0.03892164,0.23080993,0.03615792
