,vo500GLB_cluster1,vo500GLB_cluster2,vo500GLB_cluster3,vo500GLB_cluster4,vo500GLB_cluster5,vo500GLB_cluster6,vo500GLB_cluster7,vo500GLB_cluster8,vo500GLB_cluster9,vo500GLB_cluster10,vo500GLB_cluster11,vo500GLB_cluster12
1987-11-01,-9.606891e-06,1.5664096e-05,-2.5584013e-06,-9.1153415e-06,-8.483345e-06,5.6575227e-06,0.00014991019,2.8047725e-06,-1.3881632e-05,-2.7690621e-06,-4.6123823e-06,5.7656598e-05
1987-12-01,-1.0037002e-05,-7.965464e-06,6.6301436e-07,-1.3986959e-05,-6.9648013e-06,5.7014113e-06,0.00013382945,4.260146e-07,-5.893926e-06,-3.6907222e-06,3.7615391e-06,4.095264e-05
1988-01-01,-1.8111135e-05,4.0301966e-06,6.323691e-06,-2.0539537e-05,4.522226e-06,1.3624773e-05,0.00021772973,9.3517156e-07,-3.255016e-06,-6.850005e-06,6.0697384e-06,4.822556e-05
1988-02-01,-1.6714406e-05,3.419129e-06,3.0699448e-06,-1.884918e-05,3.4988378e-05,9.521882e-06,0.00020065949,1.9712752e-07,-4.6596797e-06,-7.9213605e-06,9.418713e-06,4.598762e-05
1988-03-01,-1.3960624e-05,8.545758e-06,5.030128e-06,-1.7904797e-05,1.1077329e-05,8.514016e-06,0.00021423791,6.7522305e-06,-5.405658e-06,-2.7550486e-06,-3.8219514e-07,5.1709445e-05
1988-04-01,-9.3895105e-06,-2.3820576e-06,-3.191526e-06,-2.0071315e-05,1.172808e-05,2.8398026e-06,0.00013102143,5.236463e-06,-1.2135355e-05,-4.437472e-06,4.2603388e-06,6.147861e-05
1988-05-01,2.149376e-06,2.6334674e-06,2.117631e-06,-1.1984572e-05,1.5735739e-05,8.037856e-06,7.889805e-05,6.3633706e-06,-1.9603092e-05,2.2093445e-07,-8.905419e-06,3.663112e-05
1988-06-01,-1.0091389e-06,1.0878932e-05,5.4824777e-06,-1.1603646e-05,2.5401738e-05,9.490137e-06,1.0228181e-05,5.799917e-06,-1.2563894e-05,1.347842e-06,-1.169094e-05,2.9599862e-05
1988-07-01,2.7921888e-06,1.3966019e-05,-4.5088964e-06,-5.6437384e-06,-2.2947643e-06,1.2446762e-06,3.355639e-06,5.458671e-06,-3.2664684e-07,1.0224685e-06,-7.945167e-06,3.207588e-05
1988-08-01,1.4021571e-05,1.7830833e-05,-6.440823e-07,-4.358113e-06,-1.3547953e-05,7.4109157e-06,4.4138542e-05,7.5458265e-06,-3.0169358e-06,2.4033252e-06,-1.2817847e-05,4.690819e-05
