,mslGLB_cluster1,mslGLB_cluster2,mslGLB_cluster3,mslGLB_cluster4,mslGLB_cluster5,mslGLB_cluster6,mslGLB_cluster7,mslGLB_cluster8,mslGLB_cluster9,mslGLB_cluster10,mslGLB_cluster11,mslGLB_cluster12
1994-09-01,101759.53,101303.875,101267.23,101254.87,101948.52,100840.52,101866.266,101894.25,101105.37,101645.1,101647.1,101108.15
1994-10-01,101582.52,101132.5,101987.234,101293.15,102102.266,101219.85,101724.516,101766.375,101048.36,101805.51,101330.23,101256.016
1994-11-01,101779.945,101110.57,102310.05,101527.58,102156.18,101432.66,101679.93,101904.19,101000.81,101860.445,101228.94,101773.7
1994-12-01,101820.586,101112.21,102629.47,101638.68,101866.69,101707.914,101604.21,102017.945,101082.47,101684.72,101252.445,102204.04
1995-01-01,101802.36,101198.48,102727.6,101608.26,101919.27,101706.62,101565.36,102270.15,101099.016,100629.016,101103.77,102016.875
1995-02-01,101876.164,101255.04,102438.31,101434.72,101956.31,101451.82,101397.54,102400.17,101072.664,100545.414,101070.32,101856.85
1995-03-01,101607.016,101101.15,101874.37,101484.24,101910.375,101359.875,101408.234,101973.9,100993.27,101158.4,101180.125,101448.86
1995-04-01,101390.85,101023.97,101420.164,101487.555,101827.53,101096.32,101409.055,101854.3,100929.95,102480.32,101255.8,101100.05
1995-05-01,101524.32,101164.47,101009.69,101585.43,102021.7,100706.95,101596.33,101954.17,100944.164,102005.22,101504.04,101131.57
1995-06-01,101585.7,101274.83,100502.44,101566.6,102085.914,100274.96,101855.95,101958.31,100906.16,101821.19,101663.44,100957.336
1995-07-01,101779.805,101250.07,100504.92,101427.82,102198.695,99965.47,101936.17,101923.55,100929.47,102278.914,101665.164,100716.82
1995-08-01,101568.46,101291.94,100763.72,101417.54,102224.28,100394.42,101935.2,101803.19,100970.445,102509.086,101750.28,100878.914
1995-09-01,101712.555,101338.22,101312.98,101427.68,102290.43,100778.83,101946.445,101870.92,101039.695,101720.07,101653.58,101129.84
1995-10-01,101543.08,101114.46,101852.914,101375.95,102189.31,101017.07,101772.08,101635.44,100917.33,102061.086,101347.33,101395.055
1995-11-01,101919.41,101075.49,102292.36,101452.65,102147.03,101311.734,101663.09,101752.35,100934.51,101170.88,101276.14,101823.12
1995-12-01,101868.99,101119.22,102837.13,101602.4,101999.98,101707.66,101633.37,101779.734,101071.15,100401.12,101175.164,101944.516
1996-01-01,101770.55,101015.56,102498.91,101460.43,101896.805,101532.29,101323.32,101887.16,100976.21,101052.92,100929.58,101640.414
1996-02-01,101749.51,101057.34,102605.64,101409.49,101910.51,101378.26,101311.98,102010.87,100987.61,101491.11,100950.01,101492.99
1996-03-01,101651.14,101073.59,101836.65,101500.15,101928.16,101193.0,101336.72,101932.766,100910.9,101741.375,101066.984,101293.6
