,abs_vo850_cluster1,abs_vo850_cluster2,abs_vo850_cluster3,abs_vo850_cluster4,abs_vo850_cluster5,abs_vo850_cluster6,abs_vo850_cluster7,abs_vo850_cluster8,abs_vo850_cluster9,abs_vo850_cluster10
1997-09-01,-5.0480399353573496e-05,4.0086973423072076e-05,8.510355242337523e-05,-0.00010533676507076361,-1.098956641243376e-05,0.00010791535681130847,-2.6496882185374923e-05,-6.641850304135244e-05,1.2324748703835048e-05,6.111121017597046e-05
1997-10-01,-5.1616651809330605e-05,3.5672464038445514e-05,8.633654942968859e-05,-0.00010033724937474087,-8.917980864886488e-06,0.0001058872267431407,-2.775596424542068e-05,-6.669340303337553e-05,1.8837414698895137e-05,5.859522583381953e-05
1997-11-01,-5.155389564723064e-05,3.4824441329500435e-05,8.616043652926402e-05,-9.875185982851381e-05,-9.042360682443018e-06,0.00010436394303623172,-2.8520130048290145e-05,-6.593879527931453e-05,1.8048751555026238e-05,5.7459025616804386e-05
1997-12-01,-5.3709739279405356e-05,3.259035023396154e-05,8.689217131838879e-05,-9.759370102345047e-05,-4.9544384372879335e-06,0.00010447143587818437,-2.993396139766395e-05,-6.59128142958297e-05,1.8991672720164752e-05,5.6370055116754846e-05
1998-01-01,-5.576700259244733e-05,3.1370089656587485e-05,8.969930191100998e-05,-9.569449669863344e-05,-2.385735078241913e-06,0.00010705727348707754,-3.09245442926139e-05,-6.503153480346063e-05,1.6885369839159086e-05,5.5974013771095995e-05
1998-02-01,-5.473470383958642e-05,3.123045036446716e-05,9.045700525431046e-05,-9.659183323218007e-05,-3.5432822675929287e-06,0.00010746155264011273,-3.112753515560977e-05,-6.575153479314425e-05,1.6729274011354163e-05,5.6764125291849995e-05
1998-03-01,-5.447249463298963e-05,3.265119189002146e-05,8.986041310973549e-05,-9.823220146404803e-05,-3.503468870569293e-06,0.0001086151045186583,-3.112189628845878e-05,-6.588631370758493e-05,1.643119303335742e-05,5.782820600798919e-05
1998-04-01,-5.319253653340505e-05,3.414640148751778e-05,8.63503224867269e-05,-9.988110710653665e-05,-4.008661136367664e-06,0.00010745899797055042,-3.0105892731783822e-05,-6.64879392343955e-05,1.5721853990916815e-05,5.88475506881476e-05
1998-05-01,-5.0347293861931206e-05,3.489716458741052e-05,8.647727306445383e-05,-0.00010364472175373363,-9.001783141115993e-06,0.00011157156054482415,-2.904109013245474e-05,-6.373607738780385e-05,1.618942449336244e-05,5.94184266332674e-05
1998-06-01,-5.021117933019084e-05,3.7700899761125233e-05,8.664433731940913e-05,-0.00010122246361756421,-9.886642082790331e-06,0.00011363936614038215,-2.7496826609923253e-05,-6.377056736516247e-05,1.2107398407865719e-05,6.0839360413480966e-05
