,zgv200_cluster1,zgv200_cluster2,zgv200_cluster3,zgv200_cluster4,zgv200_cluster5,zgv200_cluster6,zgv200_cluster7,zgv200_cluster8,zgv200_cluster9,zgv200_cluster10,zgv200_cluster11
1976-06-01,-0.03044033,-0.18572608,-0.5723314,0.62235004,0.23909716,-0.33336824,0.17955752,0.54524344,-0.18143491,-0.14053495,-0.19336967
1976-07-01,0.41127926,-0.14066896,-0.3882144,0.26055282,0.08662748,-0.26162568,0.015823592,0.25733453,-0.13034353,0.05203011,-0.045861624
1976-08-01,0.30413476,0.06061249,-0.39532155,0.14080314,0.3832528,-0.70187014,0.3580423,0.5629444,-0.57326996,-0.64916956,-0.304537
1976-09-01,0.25465253,0.10526705,-0.42442092,0.13329372,-0.22501679,-0.11022873,-0.35938326,-0.22220078,-0.0999032,0.46961206,0.26524633
1976-10-01,0.5865456,0.40403804,-1.2038,0.5967372,0.04545931,-0.5885572,0.24808173,0.58962995,-0.14522839,0.057930447,-0.50072277
1976-11-01,-0.008716369,-0.062489796,-0.39156684,0.15367658,-0.3121807,0.20007458,0.28415418,-0.32438365,0.13128224,-0.054175712,0.08381138
1976-12-01,0.1287343,0.013141632,0.22863749,-0.0671833,0.2301126,-0.33779347,-0.2822768,0.17151165,-0.0026819706,0.10432844,0.035938334
1977-01-01,-0.6199425,0.24506465,-0.39415592,0.48263994,-0.03592062,-0.28750363,0.35462943,0.40968904,-0.6026064,0.32148257,-0.53534204
1977-02-01,0.17239118,-0.0062410356,0.13924436,0.0538116,-0.31468678,0.34935918,-0.702047,-0.11441898,-0.16712101,0.3106648,0.023438549
1977-03-01,-0.042439032,-0.028292656,0.3249498,0.7458728,0.4635008,-1.2730321,1.0416979,-0.26129133,-0.5665471,-0.3693305,-0.47320905
1977-04-01,0.4582305,0.20512196,-0.23008613,-0.027460575,-0.8376854,-0.2809852,-0.102768995,0.7195218,0.243539,0.22786704,-0.70066005
1977-05-01,-0.5833286,-0.21982308,-0.24825445,0.7007987,-0.94794357,0.060884763,-0.19680059,-0.030511713,0.60662854,0.033840276,0.34464374
1977-06-01,-0.07003832,-0.13827363,-0.52521765,0.30761355,0.6474031,0.030650413,0.2866715,0.34242472,-0.28001437,0.08196558,-0.2703061
1977-07-01,-0.3536586,0.007211876,-0.84642303,0.20567672,0.11109047,-0.5521234,0.30872306,0.4454711,0.08418461,0.07281208,-0.3170445
1977-08-01,0.41329512,-0.103878595,-0.64768064,0.1870923,-0.050066948,-0.78096133,-0.21996179,0.2035965,-0.029679488,-0.39512673,0.60635114
1977-09-01,0.15020087,-0.27432805,-0.9899666,-0.012066078,-0.03855572,-0.36641806,0.0954185,0.101382114,0.05894308,0.031621218,0.057278823
1977-10-01,0.0,0.1593543,-0.36489242,-0.040358685,-0.07156386,-0.3990101,-0.31219038,-0.003883314,-0.25421816,0.36073175,0.05492115
1977-11-01,-0.047986615,0.3065041,-0.8128599,0.5067719,-0.36558586,-1.0226973,0.57486856,-0.114835024,-0.15963173,-0.28278813,0.1726686
1977-12-01,0.24617413,-0.05838833,-0.42092308,-0.152836,0.03259206,-0.3933238,-0.11455755,-0.5231373,-0.376265,0.27280244,-0.18085131
1978-01-01,0.26292315,-0.028606415,0.30292565,0.30990282,0.61527044,-0.09023811,0.23710756,-0.5805009,-0.3080422,0.23943338,0.2911807
