,mgv600GLB_cluster1,mgv600GLB_cluster2,mgv600GLB_cluster3,mgv600GLB_cluster4,mgv600GLB_cluster5,mgv600GLB_cluster6,mgv600GLB_cluster7,mgv600GLB_cluster8,mgv600GLB_cluster9,mgv600GLB_cluster10,mgv600GLB_cluster11,mgv600GLB_cluster12,mgv600GLB_cluster13,mgv600GLB_cluster14,mgv600GLB_cluster15,mgv600GLB_cluster16,mgv600GLB_cluster17,mgv600GLB_cluster18
1987-01-01,0.5486189,-0.51164836,-0.09457922,0.24691558,0.14372477,0.01781714,0.14016135,0.48685282,-0.053005934,-0.14803056,-0.19168252,-0.08344352,-0.42761093,0.46190888,-0.08299808,-0.4103877,-0.14342782,-0.9707362
1987-02-01,0.30393028,-0.49412814,0.026280235,0.2513699,0.24097657,-0.14699125,0.021232057,0.643792,0.13288602,-0.16495685,-0.21217223,0.09324293,0.07364412,0.46369058,-0.15411809,0.28789502,-0.10556644,-1.0681365
1987-03-01,0.29739743,-0.36643878,-0.025686348,0.033407092,0.34862167,-0.14194305,-0.012768936,0.696204,0.023904633,-0.14758515,-0.10942682,0.18232855,0.20133345,0.5359984,0.07527733,-0.05508461,-0.100369774,-1.1621217
1987-04-01,0.093094446,-0.41424808,-0.0010393381,0.20578775,0.25240922,-0.22523811,0.059093475,0.4152874,0.08953104,0.11328721,-0.16733246,0.1337769,0.024498546,0.7077851,-0.03860377,-0.44127074,-0.18856452,-0.58900434
1987-05-01,0.085373715,-0.30838466,0.07394104,0.08210723,0.31254202,-0.2178143,-0.111060046,0.13941896,0.31937188,0.06339924,-0.15783,-0.12709546,0.09146123,0.51001513,-0.16376904,-0.29992154,-0.23028629,-0.66739964
1987-06-01,0.5021459,-0.38113794,0.10764511,0.20118499,0.034001004,-0.6270142,0.011729598,0.27378973,0.4527034,-0.048848607,-0.09131274,-0.3150661,-0.02821045,0.74237996,-0.1893069,-0.18900996,-0.24988513,-0.60117936
1987-07-01,-0.21187527,-0.12100796,0.07780144,0.1625812,0.31952038,-0.47155982,-0.27200803,0.1398644,0.49769157,-0.0650325,-0.09532161,-0.3039304,0.15070316,0.66918135,-0.28626174,-0.032367803,-0.2684446,-0.54401606
1987-08-01,0.61780864,-0.17163828,-0.0414248,0.053005934,-0.08240418,-0.39123425,-0.14283392,0.117147565,0.39093733,-0.052115083,-0.13333146,-0.4895254,0.15025774,0.67363566,-0.10690272,-0.4345893,-0.33778292,-0.66665727
1987-09-01,0.012323523,-0.43369842,-0.0717139,0.07334714,-0.15783,-0.46354213,-0.06443858,0.17505321,0.19019778,-0.104378626,-0.08374047,-0.15293029,-0.0038603782,0.5397103,-0.120414056,-0.044839762,-0.45507893,-0.5588637
1987-10-01,0.25003362,-0.163769,-0.044097375,0.012768936,-0.102893874,-0.081067905,-0.057311736,0.37029916,0.057163287,0.06473555,0.013214374,0.05345137,0.087452374,0.42226577,-0.12338356,-0.23637381,-0.14149764,-0.7209995
1987-11-01,0.26161474,-0.46680856,0.13318296,0.12590766,0.04305806,-0.116702154,0.14387324,0.5692571,-0.056420874,-0.070080675,-0.27987728,0.145358,-0.1783197,0.6062275,0.010393334,-0.019153405,-0.23221648,-1.0975347
1987-12-01,0.010541797,-0.62048125,0.035782717,0.11982012,0.24008569,0.19301882,0.005642128,0.7192178,0.03949461,-0.13288604,-0.23741312,-0.018411016,-0.18589199,0.70169765,0.05612395,-0.2746806,-0.12264119,-0.9652424
1988-01-01,0.40662676,-0.6792931,0.015728146,0.06955636,0.11863901,0.026846314,0.095317975,0.7081732,-0.019931355,0.004338789,-0.17219608,-0.0025761605,-0.27700514,0.3197152,-0.04799795,-0.15497644,-0.29327565,-1.2963517
1988-02-01,1.0377862,-0.7019362,0.11714755,0.029964829,0.31076646,-0.10602937,0.058302604,0.59902537,0.009355545,0.005559087,-0.21599078,0.079047486,-0.5997033,0.31741023,-0.16378962,0.14684124,-0.21870255,-1.0301934
1988-03-01,0.68553007,-0.54533273,0.19294095,0.13992624,0.27483574,-0.1826363,0.20351677,0.5686537,0.015050203,-0.10548703,-0.20907584,0.25910762,-0.19375448,0.6509553,-0.17233166,-0.1949747,-0.40757585,-0.94057006
