,w_cluster1,w_cluster2,w_cluster3,w_cluster4,w_cluster5,w_cluster6,w_cluster7,w_cluster8
1980-05-01,0.0034742355,0.027381063,2.385067,0.02656293,-0.034476757,-0.1815992,-0.35053772,-0.049384415
1980-06-01,0.02810824,0.026017547,1.8650253,0.02747196,-0.06988245,-0.33553916,-0.1747362,-0.044294
1980-07-01,-0.010024488,0.0152003765,1.7858055,0.022381544,-0.03320414,-0.4938423,-0.19032568,-0.06342852
1980-08-01,0.017927408,0.02683562,1.6026411,0.029153585,-0.030113518,-0.32104057,-0.2207318,-0.07310945
1980-09-01,-0.017887414,0.021517992,0.8357591,0.03488034,-0.044112206,-0.4063961,-0.1882804,-0.069791555
1980-10-01,-0.05361128,0.018881857,0.80867076,0.021018028,-0.017478347,-0.30576926,-0.22945827,-0.05606562
1980-11-01,-0.030431688,0.019381821,1.0950073,0.022563338,0.00056540966,-0.11551458,-0.24032086,-0.054702103
1980-12-01,-0.053429484,0.020836234,0.7818096,0.017518342,-0.031113446,0.03983444,-0.44730133,-0.045339346
1981-01-01,-0.07296091,0.016801238,0.60371506,0.023311675,-0.010009527,0.060426295,-0.19435245,-0.06281072
1981-02-01,-0.06040138,-0.015802264,0.28372937,0.027361453,-0.030617416,0.028694332,-0.17333454,-0.026875198
1981-03-01,-0.07583159,0.010957181,0.62083703,0.017467618,0.0028575659,0.045662463,-0.2581753,-0.055223763
1981-04-01,-0.028823197,0.016237319,0.8466008,0.03325677,0.0031139255,-0.10464162,-0.22741729,-0.09397882
1981-05-01,0.0050619245,0.020440936,2.65594,0.029975891,-0.006882429,-0.17292434,-0.35480672,-0.015956044
1981-06-01,0.0075737834,0.019466877,1.4382309,0.027617753,-0.06552774,-0.2718113,-0.46579176,-0.07537025
1981-07-01,0.015724659,0.021517456,1.6196005,0.026233673,-0.010419607,-0.19599289,-0.5144407,-0.04066497
1981-08-01,-0.014930785,0.027822852,0.96917135,0.023773015,-0.051122725,-0.2718113,-0.2675565,-0.048559487
1981-09-01,-0.0218001,0.03361559,1.274547,0.040023506,-0.036205113,-0.23223609,-0.597436,-0.106384575
1981-10-01,-0.031540096,0.023260415,0.9464104,0.029001892,0.0037803054,-0.3980729,-0.3866412,-0.087314665
1981-11-01,-0.038614452,0.017467618,0.88894427,0.03335929,-0.003293991,-0.10182208,-0.5505813,-0.054608643
1981-12-01,-0.04071623,0.006394744,0.9074503,0.021517456,-0.011034787,0.028745592,-0.21654946,-0.047534287
1982-01-01,-0.06809229,0.021981478,0.50261587,0.027507782,0.006693721,0.07703805,-0.423894,-0.048311174
1982-02-01,-0.08921623,0.015163958,0.44409892,0.027094603,0.014595866,-0.062152803,-0.4243588,-0.07108784
1982-03-01,-0.02532792,0.010670602,0.53510237,0.032052815,-0.005495131,-0.013965368,-0.14783645,-0.066129625
1982-04-01,-0.02393341,0.01872766,0.5714624,0.02874732,0.008553088,-0.03498602,-0.33567947,-0.024294913
1982-05-01,0.021826565,0.02074194,1.6175368,0.029418766,-0.024243295,-0.22530818,-0.22520489,-0.049344122
1982-06-01,0.009534359,0.023169398,2.4516487,0.014285982,-0.007096231,-0.35313648,-0.24266177,-0.06375384
1982-07-01,0.013304651,0.029418766,2.2313192,0.016093612,0.010154128,-0.40721172,-0.10987532,-0.022848785
1982-08-01,0.0034915805,0.017694712,1.6610243,0.045326293,-0.005391836,-0.25707155,-0.17453837,-0.049447417
1982-09-01,-0.0094720125,0.028798997,1.2990248,0.03535825,0.00529927,-0.4377355,-0.0919019,-0.01995653
1982-10-01,-0.0144818425,0.027766049,1.4743692,0.016816735,-0.010401666,-0.18574595,-0.19369972,-0.012261033
1982-11-01,-0.051719904,0.025493562,1.451076,0.022446334,0.014802456,-0.14979911,-0.12867516,-0.03457284
1982-12-01,-0.07563287,-0.0014666319,0.40086973,0.034015417,0.00390476,0.029315472,-0.25293976,-0.064115405
1983-01-01,-0.0396789,-0.0036038458,0.5386844,0.029384792,0.034956366,0.004492998,-0.14754331,-0.067576945
1983-02-01,-0.059640467,-0.038716912,0.37811032,0.037281215,-0.008614272,0.03860396,-0.25685072,-0.010458112
1983-03-01,-0.05162376,-0.079521775,0.87193775,0.029224455,-0.02869606,-0.06501162,-0.2840674,-0.05334735
1983-04-01,0.0040119886,-0.055551946,1.2708478,0.024775207,-0.025048465,-0.23853266,-0.45654625,-0.03102088
1983-05-01,0.0034508407,-0.039518565,1.4293375,0.025176018,-0.0065700114,-0.5639297,-0.42027074,-0.05014068
1983-06-01,0.017680436,0.017560184,1.5487058,0.022931367,-0.00548777,-0.7026583,-0.4372661,-0.06288719
