,abs_vo600_cluster1,abs_vo600_cluster2,abs_vo600_cluster3,abs_vo600_cluster4,abs_vo600_cluster5,abs_vo600_cluster6,abs_vo600_cluster7,abs_vo600_cluster8
1976-05-01,-6.560226e-05,-9.895128e-06,-9.118556e-05,-5.899561e-05,2.8249779e-06,-6.97212e-05,-3.314103e-05,-2.4974517e-05
1976-06-01,-4.7098914e-05,-9.885989e-06,-8.929317e-05,-5.0987248e-05,3.8407597e-07,-7.06354e-05,-2.7473008e-05,-2.1153177e-05
1976-07-01,-5.2913205e-05,-6.997121e-06,-9.7155265e-05,-6.872267e-05,7.6803553e-07,-7.978651e-05,-2.584574e-05,-1.7313545e-05
1976-08-01,-5.626831e-05,-9.968266e-06,-9.6369055e-05,-6.2213585e-05,3.749301e-07,-8.351643e-05,-2.838721e-05,-2.1354299e-05
1976-09-01,-4.3789518e-05,-1.1037875e-05,-9.910251e-05,-6.917062e-05,-3.72067e-06,-9.2064176e-05,-2.2691758e-05,-1.3547058e-05
1976-10-01,-4.7144622e-05,-1.3743898e-05,-9.2885966e-05,-6.493789e-05,4.84637e-07,-7.97408e-05,-3.176059e-05,-1.9745308e-05
1976-11-01,-5.392796e-05,-1.7510392e-05,-9.4540665e-05,-6.061374e-05,4.1231397e-06,-7.6349126e-05,-3.4676883e-05,-2.7250866e-05
1976-12-01,-4.597445e-05,-1.4840931e-05,-0.000104487124,-6.1043414e-05,-2.6510606e-06,-7.008688e-05,-2.9337974e-05,-2.4581412e-05
1977-01-01,-4.8296602e-05,-1.979847e-05,-8.6960004e-05,-5.9025395e-05,-2.8575596e-06,-6.795884e-05,-3.1470707e-05,-2.3305765e-05
1977-02-01,-5.5476165e-05,-1.9514853e-05,-8.456952e-05,-7.3919335e-05,-1.1836059e-05,-8.82577e-05,-4.3544685e-05,-2.8605351e-05
1977-03-01,-5.7121142e-05,-1.4036996e-05,-7.74872e-05,-7.477829e-05,-5.418213e-06,-7.062484e-05,-4.787187e-05,-3.0412393e-05
1977-04-01,-4.65949e-05,-1.2148917e-05,-9.319148e-05,-4.9366216e-05,-3.6516867e-06,-7.354203e-05,-2.3942705e-05,-2.601228e-05
1977-05-01,-4.1044113e-05,-9.823256e-06,-9.989294e-05,-4.853157e-05,3.270543e-07,-7.552735e-05,-3.2670003e-05,-2.174182e-05
1977-06-01,-4.7980575e-05,-1.30970075e-05,-9.509576e-05,-5.0411545e-05,-9.613759e-07,-7.944127e-05,-2.6730255e-05,-1.9894258e-05
1977-07-01,-5.706442e-05,-9.677398e-06,-0.00010234825,-5.943056e-05,2.1989254e-06,-8.259347e-05,-2.6025264e-05,-1.9634952e-05
1977-08-01,-4.6538178e-05,-1.6127655e-05,-9.700005e-05,-5.8871432e-05,5.197162e-06,-8.672617e-05,-2.5304067e-05,-1.5421216e-05
1977-09-01,-3.9042592e-05,-2.0276566e-05,-9.400991e-05,-5.8085407e-05,-2.37946e-06,-8.844408e-05,-2.3099958e-05,-1.4213818e-05
1977-10-01,-4.1781517e-05,-1.5130947e-05,-9.2364935e-05,-5.5605786e-05,2.7499518e-06,-7.731009e-05,-1.9769484e-05,-1.7892733e-05
1977-11-01,-5.1991727e-05,-1.7845563e-05,-9.296458e-05,-5.9989692e-05,4.12752e-06,-6.778867e-05,-2.9890558e-05,-2.0834246e-05
