,mgv250_cluster1,mgv250_cluster2,mgv250_cluster3,mgv250_cluster4,mgv250_cluster5,mgv250_cluster6
1987-02-01,0.06636877,0.21202378,-0.17059894,-0.038603734,0.22301097,0.28789502
1987-03-01,0.20756945,0.22419877,-0.5114998,-0.20682709,0.27349278,0.09695484
1987-04-01,-0.35396683,0.2573089,0.38885865,0.110466145,-0.3974703,-0.20638163
1987-05-01,-0.03815832,0.08641304,-0.45433655,0.08418588,-0.045433663,-0.24721253
1987-06-01,0.13630095,0.07705903,-0.3379314,0.092055105,0.21825972,0.1199687
1987-07-01,-0.26428723,-0.39687636,-0.42196885,-0.40088525,0.21217223,0.34995794
1987-08-01,0.05642085,0.03875227,-0.3717839,-0.36332077,0.00044546128,0.3512942
1987-09-01,-0.26562357,0.011581135,-0.39197665,-0.21291462,-0.058499552,0.15931472
1987-10-01,0.22137776,-0.15872085,0.2789864,-0.1504062,0.13704333,-0.0005939007
1987-11-01,0.03251624,-0.06473551,-0.45983022,0.0858191,-0.69605553,0.31877798
1987-12-01,0.19301882,0.18544653,-0.22598052,-0.12872867,-0.16970806,0.25107294
1988-01-01,-0.031591892,0.2642599,-0.037828874,-0.18928008,0.038642406,0.1404686
1988-02-01,0.4710308,0.67115784,-0.51807964,-0.3926612,-0.013694334,0.42588013
1988-03-01,0.123113394,0.3239184,0.34330735,-0.32188457,0.101690575,0.33015546
1988-04-01,-0.009355498,0.5319096,-0.32012194,-0.29381803,-0.2904283,0.097351804
1988-05-01,-0.10223293,0.30168205,-0.06860725,0.08813186,0.03769331,-0.0801322
1988-06-01,-0.30330914,0.23497304,-0.27022582,-0.13165541,0.058573794,0.23985419
1988-07-01,-0.30005503,0.09925003,-0.31686783,-0.19280533,-0.1122664,0.32717258
1988-08-01,-0.0280666,-0.41340613,0.086369134,-0.18982244,-0.09545356,0.27836102
1988-09-01,-0.40133888,-0.15782382,0.33313838,-0.051387645,-0.10535145,0.384526
