,mgu200GLB_cluster1,mgu200GLB_cluster2,mgu200GLB_cluster3,mgu200GLB_cluster4,mgu200GLB_cluster5,mgu200GLB_cluster6,mgu200GLB_cluster7,mgu200GLB_cluster8
1981-04-01,-0.233078,-0.062031936,-1.3635979,1.7236763,-1.9229851,-0.6951965,-1.2153091,0.2356472
1981-05-01,-0.8214623,0.7623669,-2.1487222,1.8539795,-2.381066,-0.35604057,-0.7007023,0.6882225
1981-06-01,-1.0692222,3.9619591,-1.1569474,0.9785606,-3.4157856,0.118924715,-1.0879421,0.82623404
1981-07-01,-0.95800555,3.4055085,-1.1672249,0.52121353,-2.285633,0.051387023,2.1391788,0.10093918
1981-08-01,-0.98700255,4.0038033,-0.87505186,0.39201126,-2.8299706,-0.58214414,2.9819303,0.35347062
1981-09-01,-0.84972537,0.3619133,-1.2233845,0.9003784,-2.4232774,0.16627426,0.92203444,-0.0110115055
1981-10-01,-0.38613892,-0.010644531,-1.3136787,1.8231468,-2.1571643,0.08332062,-1.4737136,0.71721953
1981-11-01,0.52598536,2.1578987,-0.8695461,3.2542827,-2.6493812,-0.19967575,-2.677277,1.1191413
1981-12-01,1.3951648,-0.056525804,-0.5538818,2.8978753,-1.5078491,-0.25730363,-1.7915806,1.0196705
1982-01-01,1.221339,-1.5322548,-0.91883546,3.0502737,-1.5526371,-0.44938812,-1.7668164,1.2789276
1982-02-01,0.8654518,-1.3209873,-0.5956249,3.424279,-0.90071714,-0.54191893,-2.8386827,1.7461102
1982-03-01,0.63994944,0.81562805,-0.021677399,3.1667457,-1.5872555,-0.7680683,-3.0163028,1.706639
1982-04-01,0.15335464,1.9221125,-1.1724854,2.2207336,-2.7914472,-0.25656205,-0.028147507,0.9880711
1982-05-01,-0.46912384,1.1469265,-1.6254326,2.0068784,-2.4064422,0.18862,-0.28826827,1.1906033
1982-06-01,-0.7243916,2.7707407,-1.445224,1.4241943,-3.2278934,0.25817984,-0.10255966,0.5186241
1982-07-01,-1.1155434,3.069362,-1.4944012,0.79362714,-2.8076236,0.18635559,1.5519902,0.8188633
1982-08-01,-1.1398087,0.7302151,-1.2494862,0.9431,-2.6979456,-0.16759034,3.2961593,-0.026529694
1982-09-01,-0.79912794,1.8425232,-1.6380504,1.2886337,-3.1609223,-0.40797576,-0.67003787,0.6651848
1982-10-01,-0.33615112,0.8269516,-1.8696998,2.1392035,-1.6966095,-0.251062,-0.6464195,1.0806019
1982-11-01,0.5716839,-0.99454194,-0.3060627,3.0383034,-2.6490922,-0.3688282,-2.4015892,1.2255452
1982-12-01,0.83051074,-0.4215641,-1.5769022,3.6475167,-2.1540859,-0.02685318,-3.1489518,1.275369
1983-01-01,1.7456264,-0.13925973,-0.8781818,3.0682683,-2.0140593,-0.6263428,-3.2869186,0.5824181
